TransactionID;StoreID;StoreLocation;CustomerID;CustomerType;ProductID;ProductName;Category;Quantity;UnitPrice;TotalAmount;PaymentMethod;SalesDate;Salesperson
T04001;S003;Rosebank;C1541;Guest;P0006;Coffee Maker;Appliances;1;1299.99;1299.99;Bank Transfer;2026/05/15;Jessica Naidoo
T04002;S003;Rosebank;C1374;Guest;P0012;Hooded Sweatshirt;Clothing;6;599.99;3599.94;Cash;2026/03/18;Jessica Naidoo
T04003;S003;Rosebank;C0716;Member;P0001;Wireless Headphones;Electronics;5;899.99;4499.95;Card;2026/03/31;Liam Jacobs
T04004;S003;Rosebank;C0404;Guest;P0003;Smart Watch;Electronics;2;1299.99;2599.98;Card;2026/04/26;Liam Jacobs
T04005;S003;Rosebank;C0810;Guest;P0020;Table Lamp;Home & Decor;2;699.99;1399.98;Mobile Pay;2026/01/30;Sophie Mthembu
T04006;S003;Rosebank;C0040;Guest;P0007;Air Fryer;Appliances;4;1799.99;7199.96;Cash;2026/04/17;Michael Williams
T04007;S003;Rosebank;C1008;Member;P0020;Table Lamp;Home & Decor;5;699.99;3499.95;Cash;2026/04/22;Noah Pillay
T04008;S003;Rosebank;C0627;Member;P0003;Smart Watch;Electronics;4;1299.99;5199.96;Cash;2026/02/08;Daniel Smith
T04009;S003;Rosebank;C2236;Member;P0008;Blender;Appliances;1;899.99;899.99;Bank Transfer;2026/01/12;Noah Pillay
T04010;S003;Rosebank;C0065;Guest;P0010;Cotton T-Shirt;Clothing;6;249.99;1499.94;Bank Transfer;2026/01/19;Noah Pillay
T04011;S003;Rosebank;C0504;Member;P0010;Cotton T-Shirt;Clothing;6;249.99;1499.94;Card;2026/06/10;Sarah Mokoena
T04012;S003;Rosebank;C2468;Member;P0010;Cotton T-Shirt;Clothing;6;249.99;1499.94;Cash;2026/01/18;Sophie Mthembu
T04013;S003;Rosebank;C1900;Guest;P0008;Blender;Appliances;4;899.99;3599.96;Bank Transfer;2026/02/20;Sophie Mthembu
T04014;S003;Rosebank;C1119;Guest;P0024;Storage Container Set;Kitchen;3;349.99;1049.97;Bank Transfer;2026/05/21;Emma Nkosi
T04015;S003;Rosebank;C1163;Member;P0022;Cookware Set;Kitchen;3;1599.99;4799.97;Card;2026/02/26;Liam Jacobs
T04016;S003;Rosebank;C0630;Member;P0022;Cookware Set;Kitchen;2;1599.99;3199.98;Bank Transfer;2026/05/19;Michael Williams
T04017;S003;Rosebank;C2618;Member;P0010;Cotton T-Shirt;Clothing;3;249.99;749.97;Mobile Pay;2026/03/18;Emma Nkosi
T04018;S003;Rosebank;C0516;Guest;P0020;Table Lamp;Home & Decor;1;699.99;699.99;Cash;2026/04/14;Michael Williams
T04019;S003;Rosebank;C0111;Guest;P0002;Bluetooth Speaker;Electronics;2;649.99;1299.98;Bank Transfer;2026/01/27;Sarah Mokoena
T04020;S003;Rosebank;C2170;Member;P0012;Hooded Sweatshirt;Clothing;2;599.99;1199.98;Bank Transfer;2026/01/02;Daniel Smith
T04021;S003;Rosebank;C0414;Guest;P0013;Running Shoes;Sportswear;5;1499.5;7497.5;Card;2026/02/17;Sarah Mokoena
T04022;S003;Rosebank;C2326;Member;P0021;Cushion Set;Home & Decor;4;299.99;1199.96;Bank Transfer;2026/03/05;Noah Pillay
T04023;S003;Rosebank;C1712;Member;P0001;Wireless Headphones;Electronics;6;899.99;5399.94;Card;2026/06/05;James Botha
T04024;S003;Rosebank;C1180;Guest;P0022;Cookware Set;Kitchen;6;1599.99;9599.94;Card;2026/02/06;Michael Williams
T04025;S003;Rosebank;C2788;Guest;P0006;Coffee Maker;Appliances;4;1299.99;5199.96;Mobile Pay;2026/05/08;Sarah Mokoena
T04026;S003;Rosebank;C0643;Member;P0011;Denim Jeans;Clothing;2;799.99;1599.98;Bank Transfer;2026/04/08;Noah Pillay
T04027;S003;Rosebank;C1231;Member;P0006;Coffee Maker;Appliances;5;1299.99;6499.95;Cash;2026/01/21;Liam Jacobs
T04028;S003;Rosebank;C2102;Guest;P0009;Electric Kettle;Appliances;2;499.99;999.98;Mobile Pay;2026/02/06;Sarah Mokoena
T04029;S003;Rosebank;C0622;Guest;P0022;Cookware Set;Kitchen;6;1599.99;9599.94;Mobile Pay;2026/06/26;Emma Nkosi
T04030;S003;Rosebank;C2115;Member;P0012;Hooded Sweatshirt;Clothing;2;599.99;1199.98;Mobile Pay;2026/06/04;Sarah Mokoena
T04031;S003;Rosebank;C0481;Member;P0013;Running Shoes;Sportswear;5;1499.5;7497.5;Cash;2026/06/14;Olivia Dlamini
T04032;S003;Rosebank;C0861;Guest;P0009;Electric Kettle;Appliances;5;499.99;2499.95;Cash;2026/06/21;Olivia Dlamini
T04033;S003;Rosebank;C2093;Member;P0004;USB-C Charger;Electronics;5;299.99;1499.95;Card;2026/03/20;Olivia Dlamini
T04034;S003;Rosebank;C1201;Member;P0007;Air Fryer;Appliances;3;1799.99;5399.97;Bank Transfer;2026/03/14;Daniel Smith
T04035;S003;Rosebank;C1817;Guest;P0016;Skincare Set;Beauty;2;599.99;1199.98;Card;2026/01/05;Noah Pillay
T04036;S003;Rosebank;C0344;Guest;P0015;Sports Bottle;Sportswear;4;199.99;799.96;Mobile Pay;2026/03/17;Noah Pillay
T04037;S003;Rosebank;C2049;Guest;P0025;Novel Book;Books;6;199.99;1199.94;Mobile Pay;2026/05/06;Emma Nkosi
T04038;S003;Rosebank;C1518;Member;P0019;Throw Blanket;Home & Decor;6;449.99;2699.94;Cash;2026/05/31;Michael Williams
T04039;S003;Rosebank;C0381;Guest;P0016;Skincare Set;Beauty;3;599.99;1799.97;Card;2026/01/07;Michael Williams
T04040;S003;Rosebank;C0081;Member;P0023;Dinner Plate Set;Kitchen;6;499.99;2999.94;Cash;2026/06/21;James Botha
T04041;S003;Rosebank;C2151;Guest;P0009;Electric Kettle;Appliances;6;499.99;2999.94;Bank Transfer;2026/06/19;Michael Williams
T04042;S003;Rosebank;C0273;Member;P0002;Bluetooth Speaker;Electronics;2;649.99;1299.98;Mobile Pay;2026/01/01;Liam Jacobs
T04043;S003;Rosebank;C2535;Guest;P0015;Sports Bottle;Sportswear;3;199.99;599.97;Card;2026/01/12;Jessica Naidoo
T04044;S003;Rosebank;C1177;Guest;P0004;USB-C Charger;Electronics;5;299.99;1499.95;Cash;2026/04/28;Daniel Smith
T04045;S003;Rosebank;C0612;Guest;P0006;Coffee Maker;Appliances;6;1299.99;7799.94;Bank Transfer;2026/02/27;Sarah Mokoena
T04046;S003;Rosebank;C1584;Guest;P0016;Skincare Set;Beauty;1;599.99;599.99;Mobile Pay;2026/06/08;Olivia Dlamini
T04047;S003;Rosebank;C0220;Guest;P0024;Storage Container Set;Kitchen;1;349.99;349.99;Mobile Pay;2026/02/18;Sarah Mokoena
T04048;S003;Rosebank;C2034;Member;P0003;Smart Watch;Electronics;5;1299.99;6499.95;Bank Transfer;2026/01/22;Michael Williams
T04049;S003;Rosebank;C1610;Guest;P0015;Sports Bottle;Sportswear;4;199.99;799.96;Bank Transfer;2026/02/06;Daniel Smith
T04050;S003;Rosebank;C0674;Member;P0008;Blender;Appliances;1;899.99;899.99;Card;2026/05/03;Emma Nkosi
T04051;S003;Rosebank;C1552;Member;P0012;Hooded Sweatshirt;Clothing;4;599.99;2399.96;Card;2026/02/21;Sarah Mokoena
T04052;S003;Rosebank;C0894;Guest;P0014;Yoga Mat;Sportswear;4;399.99;1599.96;Cash;2026/03/05;Michael Williams
T04053;S003;Rosebank;C2981;Guest;P0017;Face Moisturiser;Beauty;4;249.99;999.96;Card;2026/01/30;Emma Nkosi
T04054;S003;Rosebank;C1264;Member;P0012;Hooded Sweatshirt;Clothing;2;599.99;1199.98;Card;2026/03/31;Sarah Mokoena
T04055;S003;Rosebank;C1306;Guest;P0024;Storage Container Set;Kitchen;5;349.99;1749.95;Bank Transfer;2026/04/11;Jessica Naidoo
T04056;S003;Rosebank;C2284;Guest;P0005;Laptop Backpack;Accessories;4;549.99;2199.96;Mobile Pay;2026/06/09;Sophie Mthembu
T04057;S003;Rosebank;C0440;Guest;P0022;Cookware Set;Kitchen;3;1599.99;4799.97;Card;2026/01/21;Daniel Smith
T04058;S003;Rosebank;C0643;Member;P0005;Laptop Backpack;Accessories;3;549.99;1649.97;Cash;2026/01/12;Jessica Naidoo
T04059;S003;Rosebank;C1859;Guest;P0016;Skincare Set;Beauty;6;599.99;3599.94;Bank Transfer;2026/02/28;Sarah Mokoena
T04060;S003;Rosebank;C0809;Member;P0010;Cotton T-Shirt;Clothing;4;249.99;999.96;Cash;2026/01/28;Emma Nkosi
T04061;S003;Rosebank;C2593;Member;P0006;Coffee Maker;Appliances;4;1299.99;5199.96;Card;2026/03/18;Sophie Mthembu
T04062;S003;Rosebank;C0713;Member;P0005;Laptop Backpack;Accessories;5;549.99;2749.95;Mobile Pay;2026/05/28;Olivia Dlamini
T04063;S003;Rosebank;C2142;Member;P0021;Cushion Set;Home & Decor;4;299.99;1199.96;Mobile Pay;2026/03/10;Sophie Mthembu
T04064;S003;Rosebank;C2022;Guest;P0011;Denim Jeans;Clothing;6;799.99;4799.94;Card;2026/04/24;Michael Williams
T04065;S003;Rosebank;C0650;Guest;P0022;Cookware Set;Kitchen;6;1599.99;9599.94;Cash;2026/03/04;Emma Nkosi
T04066;S003;Rosebank;C2690;Guest;P0014;Yoga Mat;Sportswear;6;399.99;2399.94;Mobile Pay;2026/03/30;Daniel Smith
T04067;S003;Rosebank;C1729;Member;P0023;Dinner Plate Set;Kitchen;4;499.99;1999.96;Bank Transfer;2026/06/16;Sophie Mthembu
T04068;S003;Rosebank;C0288;Guest;P0021;Cushion Set;Home & Decor;3;299.99;899.97;Bank Transfer;2026/06/30;Jessica Naidoo
T04069;S003;Rosebank;C1595;Guest;P0019;Throw Blanket;Home & Decor;1;449.99;449.99;Cash;2026/02/05;Michael Williams
T04070;S003;Rosebank;C0907;Member;P0010;Cotton T-Shirt;Clothing;5;249.99;1249.95;Card;2026/04/13;Michael Williams
T04071;S003;Rosebank;C1164;Guest;P0016;Skincare Set;Beauty;2;599.99;1199.98;Mobile Pay;2026/02/24;Jessica Naidoo
T04072;S003;Rosebank;C0399;Guest;P0006;Coffee Maker;Appliances;4;1299.99;5199.96;Card;2026/06/08;Liam Jacobs
T04073;S003;Rosebank;C1601;Guest;P0007;Air Fryer;Appliances;2;1799.99;3599.98;Cash;2026/04/17;Olivia Dlamini
T04074;S003;Rosebank;C0086;Member;P0022;Cookware Set;Kitchen;6;1599.99;9599.94;Card;2026/03/07;Liam Jacobs
T04075;S003;Rosebank;C2825;Member;P0010;Cotton T-Shirt;Clothing;3;249.99;749.97;Card;2026/01/08;Emma Nkosi
T04076;S003;Rosebank;C1905;Guest;P0009;Electric Kettle;Appliances;3;499.99;1499.97;Card;2026/05/09;Daniel Smith
T04077;S003;Rosebank;C2399;Member;P0002;Bluetooth Speaker;Electronics;6;649.99;3899.94;Cash;2026/05/12;Olivia Dlamini
T04078;S003;Rosebank;C1078;Member;P0016;Skincare Set;Beauty;6;599.99;3599.94;Bank Transfer;2026/01/17;James Botha
T04079;S003;Rosebank;C0541;Member;P0006;Coffee Maker;Appliances;6;1299.99;7799.94;Mobile Pay;2026/06/27;Sophie Mthembu
T04080;S003;Rosebank;C1198;Member;P0019;Throw Blanket;Home & Decor;3;449.99;1349.97;Cash;2026/01/18;Jessica Naidoo
T04081;S003;Rosebank;C1695;Member;P0012;Hooded Sweatshirt;Clothing;4;599.99;2399.96;Cash;2026/03/06;Jessica Naidoo
T04082;S003;Rosebank;C1108;Guest;P0021;Cushion Set;Home & Decor;1;299.99;299.99;Card;2026/04/08;Michael Williams
T04083;S003;Rosebank;C0855;Member;P0023;Dinner Plate Set;Kitchen;1;499.99;499.99;Mobile Pay;2026/05/09;Michael Williams
T04084;S003;Rosebank;C2761;Member;P0021;Cushion Set;Home & Decor;2;299.99;599.98;Cash;2026/04/04;Olivia Dlamini
T04085;S003;Rosebank;C1609;Guest;P0013;Running Shoes;Sportswear;4;1499.5;5998.0;Mobile Pay;2026/03/16;Liam Jacobs
T04086;S003;Rosebank;C2528;Member;P0004;USB-C Charger;Electronics;6;299.99;1799.94;Bank Transfer;2026/05/29;Olivia Dlamini
T04087;S003;Rosebank;C1804;Guest;P0006;Coffee Maker;Appliances;2;1299.99;2599.98;Card;2026/02/18;Daniel Smith
T04088;S003;Rosebank;C1476;Guest;P0018;Perfume;Beauty;4;899.99;3599.96;Cash;2026/02/13;James Botha
T04089;S003;Rosebank;C1694;Guest;P0013;Running Shoes;Sportswear;2;1499.5;2999.0;Mobile Pay;2026/02/19;Noah Pillay
