TransactionID;StoreID;StoreLocation;CustomerID;CustomerType;ProductID;ProductName;Category;Quantity;UnitPrice;TotalAmount;PaymentMethod;SalesDate;Salesperson
T08001;S005;Midrand;C0373;Member;P0016;Skincare Set;Beauty;1;599.99;599.99;Bank Transfer;2026/03/31;Sarah Mokoena
T08002;S005;Midrand;C2922;Member;P0006;Coffee Maker;Appliances;6;1299.99;7799.94;Bank Transfer;2026/06/15;Noah Pillay
T08003;S005;Midrand;C2107;Guest;P0013;Running Shoes;Sportswear;5;1499.5;7497.5;Mobile Pay;2026/01/15;James Botha
T08004;S005;Midrand;C0337;Member;P0014;Yoga Mat;Sportswear;3;399.99;1199.97;Cash;2026/06/28;Noah Pillay
T08005;S005;Midrand;C0866;Guest;P0004;USB-C Charger;Electronics;6;299.99;1799.94;Mobile Pay;2026/04/07;Daniel Smith
T08006;S005;Midrand;C0920;Member;P0013;Running Shoes;Sportswear;4;1499.5;5998.0;Card;2026/01/02;Michael Williams
T08007;S005;Midrand;C2972;Member;P0011;Denim Jeans;Clothing;3;799.99;2399.97;Cash;2026/03/05;Olivia Dlamini
T08008;S005;Midrand;C1919;Member;P0008;Blender;Appliances;1;899.99;899.99;Mobile Pay;2026/03/13;Sophie Mthembu
T08009;S005;Midrand;C1954;Member;P0019;Throw Blanket;Home & Decor;2;449.99;899.98;Card;2026/04/28;Jessica Naidoo
T08010;S005;Midrand;C2298;Member;P0003;Smart Watch;Electronics;2;1299.99;2599.98;Bank Transfer;2026/01/24;Michael Williams
T08011;S005;Midrand;C0838;Member;P0013;Running Shoes;Sportswear;6;1499.5;8997.0;Bank Transfer;2026/03/22;Daniel Smith
T08012;S005;Midrand;C2078;Member;P0007;Air Fryer;Appliances;4;1799.99;7199.96;Card;2026/05/08;Jessica Naidoo
T08013;S005;Midrand;C0963;Member;P0012;Hooded Sweatshirt;Clothing;4;599.99;2399.96;Card;2026/02/14;Sophie Mthembu
T08014;S005;Midrand;C0671;Guest;P0013;Running Shoes;Sportswear;6;1499.5;8997.0;Mobile Pay;2026/01/03;Emma Nkosi
T08015;S005;Midrand;C0407;Guest;P0011;Denim Jeans;Clothing;2;799.99;1599.98;Cash;2026/03/18;Noah Pillay
T08016;S005;Midrand;C0910;Member;P0020;Table Lamp;Home & Decor;5;699.99;3499.95;Cash;2026/05/24;James Botha
T08017;S005;Midrand;C0118;Member;P0003;Smart Watch;Electronics;4;1299.99;5199.96;Card;2026/03/14;Emma Nkosi
T08018;S005;Midrand;C0855;Member;P0017;Face Moisturiser;Beauty;6;249.99;1499.94;Bank Transfer;2026/02/02;Daniel Smith
T08019;S005;Midrand;C0053;Member;P0015;Sports Bottle;Sportswear;6;199.99;1199.94;Mobile Pay;2026/03/31;Sarah Mokoena
T08020;S005;Midrand;C1680;Guest;P0002;Bluetooth Speaker;Electronics;5;649.99;3249.95;Mobile Pay;2026/06/07;Jessica Naidoo
T08021;S005;Midrand;C0166;Guest;P0006;Coffee Maker;Appliances;3;1299.99;3899.97;Mobile Pay;2026/04/29;Michael Williams
T08022;S005;Midrand;C0616;Member;P0016;Skincare Set;Beauty;5;599.99;2999.95;Bank Transfer;2026/04/17;Emma Nkosi
T08023;S005;Midrand;C0085;Member;P0018;Perfume;Beauty;6;899.99;5399.94;Mobile Pay;2026/05/18;James Botha
T08024;S005;Midrand;C2903;Member;P0010;Cotton T-Shirt;Clothing;5;249.99;1249.95;Cash;2026/05/30;Michael Williams
T08025;S005;Midrand;C2987;Guest;P0017;Face Moisturiser;Beauty;1;249.99;249.99;Card;2026/04/10;James Botha
T08026;S005;Midrand;C0397;Member;P0025;Novel Book;Books;5;199.99;999.95;Mobile Pay;2026/01/24;Jessica Naidoo
T08027;S005;Midrand;C2445;Guest;P0012;Hooded Sweatshirt;Clothing;1;599.99;599.99;Card;2026/03/23;Emma Nkosi
T08028;S005;Midrand;C2367;Guest;P0005;Laptop Backpack;Accessories;2;549.99;1099.98;Bank Transfer;2026/03/17;James Botha
T08029;S005;Midrand;C2510;Member;P0007;Air Fryer;Appliances;2;1799.99;3599.98;Cash;2026/03/24;Daniel Smith
T08030;S005;Midrand;C1698;Member;P0010;Cotton T-Shirt;Clothing;6;249.99;1499.94;Cash;2026/01/04;Daniel Smith
T08031;S005;Midrand;C0047;Member;P0010;Cotton T-Shirt;Clothing;3;249.99;749.97;Mobile Pay;2026/03/13;Noah Pillay
T08032;S005;Midrand;C2907;Member;P0017;Face Moisturiser;Beauty;4;249.99;999.96;Cash;2026/06/10;Sophie Mthembu
T08033;S005;Midrand;C1606;Member;P0018;Perfume;Beauty;4;899.99;3599.96;Mobile Pay;2026/06/23;Noah Pillay
