TransactionID;StoreID;StoreLocation;CustomerID;CustomerType;ProductID;ProductName;Category;Quantity;UnitPrice;TotalAmount;PaymentMethod;SalesDate;Salesperson
T00001;S001;Sandton;C0358;Guest;P0002;Bluetooth Speaker;Electronics;3;649.99;1949.97;Mobile Pay;2026/01/28;Sarah Mokoena
T00002;S001;Sandton;C2304;Member;P0013;Running Shoes;Sportswear;5;1499.5;7497.5;Card;2026/02/10;Jessica Naidoo
T00003;S001;Sandton;C1368;Guest;P0011;Denim Jeans;Clothing;5;799.99;3999.95;Cash;2026/01/01;Emma Nkosi
T00004;S001;Sandton;C2448;Member;P0025;Novel Book;Books;1;199.99;199.99;Card;2026/03/22;James Botha
T00005;S001;Sandton;C0380;Guest;P0004;USB-C Charger;Electronics;1;299.99;299.99;Cash;2026/01/06;Olivia Dlamini
T00006;S001;Sandton;C1954;Member;P0014;Yoga Mat;Sportswear;5;399.99;1999.95;Card;2026/03/20;Michael Williams
T00007;S001;Sandton;C0848;Guest;P0017;Face Moisturiser;Beauty;4;249.99;999.96;Mobile Pay;2026/01/04;Emma Nkosi
T00008;S001;Sandton;C2101;Member;P0025;Novel Book;Books;6;199.99;1199.94;Bank Transfer;2026/05/14;Emma Nkosi
T00009;S001;Sandton;C0131;Guest;P0012;Hooded Sweatshirt;Clothing;5;599.99;2999.95;Cash;2026/01/22;James Botha
T00010;S001;Sandton;C0697;Member;P0022;Cookware Set;Kitchen;3;1599.99;4799.97;Bank Transfer;2026/01/19;James Botha
T00011;S001;Sandton;C1377;Member;P0013;Running Shoes;Sportswear;5;1499.5;7497.5;Card;2026/06/10;Michael Williams
T00012;S001;Sandton;C0939;Member;P0001;Wireless Headphones;Electronics;3;899.99;2699.97;Card;2026/06/13;Olivia Dlamini
T00013;S001;Sandton;C2951;Member;P0016;Skincare Set;Beauty;6;599.99;3599.94;Bank Transfer;2026/02/15;Jessica Naidoo
T00014;S001;Sandton;C1551;Guest;P0018;Perfume;Beauty;4;899.99;3599.96;Card;2026/01/03;Jessica Naidoo
T00015;S001;Sandton;C0087;Member;P0015;Sports Bottle;Sportswear;2;199.99;399.98;Mobile Pay;2026/06/25;Olivia Dlamini
T00016;S001;Sandton;C1722;Member;P0014;Yoga Mat;Sportswear;6;399.99;2399.94;Card;2026/05/11;Michael Williams
T00017;S001;Sandton;C0340;Member;P0023;Dinner Plate Set;Kitchen;1;499.99;499.99;Card;2026/05/18;Emma Nkosi
T00018;S001;Sandton;C2844;Member;P0003;Smart Watch;Electronics;5;1299.99;6499.95;Card;2026/03/24;Olivia Dlamini
T00019;S001;Sandton;C2301;Member;P0016;Skincare Set;Beauty;1;599.99;599.99;Mobile Pay;2026/01/07;Jessica Naidoo
T00020;S001;Sandton;C2940;Guest;P0014;Yoga Mat;Sportswear;1;399.99;399.99;Cash;2026/04/06;Liam Jacobs
T00021;S001;Sandton;C2571;Member;P0024;Storage Container Set;Kitchen;1;349.99;349.99;Bank Transfer;2026/05/18;Olivia Dlamini
T00022;S001;Sandton;C1193;Guest;P0005;Laptop Backpack;Accessories;6;549.99;3299.94;Bank Transfer;2026/04/05;Jessica Naidoo
T00023;S001;Sandton;C2119;Member;P0018;Perfume;Beauty;3;899.99;2699.97;Cash;2026/05/31;Emma Nkosi
T00024;S001;Sandton;C0558;Member;P0014;Yoga Mat;Sportswear;1;399.99;399.99;Card;2026/03/31;James Botha
T00025;S001;Sandton;C2950;Guest;P0024;Storage Container Set;Kitchen;6;349.99;2099.94;Bank Transfer;2026/03/19;Emma Nkosi
T00026;S001;Sandton;C0650;Member;P0025;Novel Book;Books;1;199.99;199.99;Cash;2026/03/29;Sophie Mthembu
T00027;S001;Sandton;C2976;Member;P0004;USB-C Charger;Electronics;5;299.99;1499.95;Mobile Pay;2026/01/24;Olivia Dlamini
T00028;S001;Sandton;C0833;Guest;P0017;Face Moisturiser;Beauty;2;249.99;499.98;Mobile Pay;2026/04/12;Sarah Mokoena
T00029;S001;Sandton;C0808;Member;P0017;Face Moisturiser;Beauty;1;249.99;249.99;Card;2026/02/19;Olivia Dlamini
T00030;S001;Sandton;C0349;Member;P0019;Throw Blanket;Home & Decor;2;449.99;899.98;Card;2026/03/29;Sophie Mthembu
T00031;S001;Sandton;C2189;Member;P0018;Perfume;Beauty;2;899.99;1799.98;Bank Transfer;2026/05/07;Emma Nkosi
